Scenario,Product,Product_Name,ProductID,Entity Found,Submit Status
Scenario 1,Item,,32445,YES,
Scenario 1,Item,," 32701",YES,
Scenario 2,Item,,32980,YES,
Scenario 2,Item,," 33211",YES,
Scenario 3,Item,,33238,YES,
Scenario 4,Item,,30050,YES,
Scenario 4,Item,," 30995",YES,
Scenario 5,Item,,32903,YES,
Scenario 5,Item,," 32902",YES,
Scenario 6,Category,,20079,YES,
Scenario 7,Category,,20079,YES,
Scenario 7,Category,," 20078",YES,
Scenario 7,Category,," 20081",YES,
Scenario 8,Category,,20021,YES,
Scenario 8,Category,," 20038",YES,
Scenario 8,Category,," 20053",YES,
Scenario 8,Category,,20035,YES,
Scenario 8,Category,," 20052",YES,
Scenario 8,Category,," 20069",YES,
Scenario 8,Category,," 20080",YES,
Scenario 8,Category,," 20060",YES,
Scenario 9,Category,,20079,YES,
Scenario 9,Category,," 20078",YES,
Scenario 9,Category,," 20081",YES,
Scenario 10,Item,,30966,YES,
Scenario 10,Item,," 32390",YES,
Scenario 10,Item,," 32558",YES,
Scenario 10,Item,," 32563",YES,
Scenario 10,Item,," 32597",YES,
Scenario 10,Item,," 32598",YES,
Scenario 10,Item,," 30050",YES,
Scenario 10,Item,," 30094",YES,
Scenario 10,Item,," 31507",YES,
Scenario 10,Item,," 31506",YES,
Scenario 10,Item,," 31508",YES,
Scenario 11,Modifier,,40946,YES,
Scenario 11,Modifier,," 40947",YES,
Scenario 11,Modifier,," 42079",YES,
Scenario 11,Modifier,," 141099",YES,
Scenario 11,Modifier,," 141101",YES,
